"name","id","index","x","y","vy","vx"
"Roma",0,0,495.374372336714,188.5901342784519,-0.0005337240468532467,-0.0011062085041162258
"Milano",1,1,400.1496038676235,264.0722453449063,-0.00206566987671221,-0.001968957413638148
"Napoli",2,2,426.4002063695408,212.12447819578387,-0.001490850453431951,-0.001220862818591235
"Torino",3,3,490.0892421589179,277.45255692125346,-0.0010534045962867767,-0.0020490167567373883
"Genova",4,4,554.3926272572807,214.8148806974142,-0.0021802920799577435,0.0008789687466818927
"Firenze",5,5,583.0669490346144,249.9358756905874,0.0020360214723367273,-0.00343016939645715
"Catania",6,6,501.2039815952144,125.92814760214597,-0.0008550835825235654,-0.0008114007994411209
"Pisa",7,7,420.84022219214177,325.8396556627217,-0.0018104526368084685,-0.003036324472023549
"Bari",8,8,515.9670357237115,334.98368988405844,-0.0003822668764827286,-0.0030154928266342067
